TEXT_REMARKS,ACTION_CATEGORY,PREDICTED_DEPARTMENT,CONFIDENCE_SCORE,CONFIDENCE_RANGE,MATCH_STATUS
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Nonreprogrammed meter found at site hence same needs to be replace under mass meter category accuracy is within limit,Meter Replacement / Installation Team,Meter Replacement / Installation Team,97.81,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Mentioned meter is not found at mentioned address meter is not traceable therefore same couldnt be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,97.31,100-90% Very High,Correct
meter already replaced,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,89.32,90-75% High,Wrong
meter already replaced,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,89.32,90-75% High,Wrong
meter replaced on date,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,46.14,Below 50% Low,Wrong
Meter already replaced at site New meter No,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,56.02,75-50% Medium,Wrong
Meter already replaced new meter no found and said meter no not found at side discuss with back office Abishek as per system meter Retain at side,Scheduling / Field Dispatch Team,No Action Needed,59.07,75-50% Medium,Wrong
The meter was already replaced on the replacement date New Meter number is,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,55.6,75-50% Medium,Wrong
meter replaced on date,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,46.14,Below 50% Low,Wrong
meter already replaced meter found at site,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,90.08,100-90% Very High,Wrong
Meter found already replaced with new meter no discuss with back office sh Abhishek,Scheduling / Field Dispatch Team,No Action Needed,60.68,75-50% Medium,Wrong
meter already replaced meter no installed on date,Scheduling / Field Dispatch Team,No Action Needed,51.38,75-50% Medium,Wrong
Inactive meter at site meter already replaced hence meter couldnt be tested and this request needs to be closed,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,61.6,75-50% Medium,Wrong
METER ALREADY REPLACED METER FOUND AT SITE,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,90.08,100-90% Very High,Wrong
meter no found at site meter no already removed as per SAP,Scheduling / Field Dispatch Team,Field Operations / Meter Testing,58.86,75-50% Medium,Wrong
New meter is installed at site this meter is retained at site as per system,Scheduling / Field Dispatch Team,Field Operations / Meter Testing,84.48,90-75% High,Wrong
Meter already replaced and This said meter is retained at site with CEG Paper seal dated Of IR,Scheduling / Field Dispatch Team,CEG / Enforcement / Vigilance Team,67.33,75-50% Medium,Wrong
Meter Already Change New Meter no Old Meter no,Scheduling / Field Dispatch Team,No Action Needed,72.11,75-50% Medium,Wrong
Meter already replaced New Meter No,Scheduling / Field Dispatch Team,No Action Needed,52.3,75-50% Medium,Wrong
Meter already replaced photograph is attached,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,43.73,Below 50% Low,Wrong
Meter already replaced at site New meter no,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,56.02,75-50% Medium,Wrong
Meter already replaced New meter number is,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,44.54,Below 50% Low,Wrong
Case already executed,Scheduling / Field Dispatch Team,Customer Service / Call Center,66.96,75-50% Medium,Wrong
meter already replaced meter found at site,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,90.08,100-90% Very High,Wrong
Meter already replaced New meter No,Scheduling / Field Dispatch Team,No Action Needed,52.3,75-50% Medium,Wrong
meter already replaced new meter installed at site new meter number is,Scheduling / Field Dispatch Team,Field Operations / Meter Testing,37.04,Below 50% Low,Wrong
Meter already replaced New Meter No,Scheduling / Field Dispatch Team,No Action Needed,52.3,75-50% Medium,Wrong
Meter already replaced at site,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,85.77,90-75% High,Wrong
meter already replaced at site,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,85.77,90-75% High,Wrong
Meter Already Replaced new meter is,Scheduling / Field Dispatch Team,No Action Needed,52.3,75-50% Medium,Wrong
Meter already replaced new meter at site meter number is,Scheduling / Field Dispatch Team,Meter Replacement / Installation Team,60.06,75-50% Medium,Wrong
Insufficient loadGeneration found hence meter couldnt be tested,Scheduling / Field Dispatch Team,Field Operations / Meter Testing,94.96,100-90% Very High,Wrong
Meter at over hight so meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,52.73,75-50% Medium,Correct
Site unsafe for meter testing discuss with consumer sh Ravinder Dabas phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,94.38,100-90% Very High,Correct
no space for ct so unsafe conditions aqua check connection,Field Operations / Meter Testing,Field Operations / Meter Testing,97.7,100-90% Very High,Correct
Side unsafe for meter testing due to open joints alongwith jumbling of wire so meter could not be test discuss with consumer sh Vijender Singh phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,94.77,100-90% Very High,Correct
Site found unsafe meter found in unsafe condition and meter has fallen on ground so meter needs to be rectification required,Field Operations / Meter Testing,Field Operations / Meter Testing,98.45,100-90% Very High,Correct
Meter Hanging on Wall Meter Unsafe Condition So Meter Could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.27,100-90% Very High,Correct
Meter Hanging alongwith incoming service line at the time of testing unsafe for testing so meter could not be test discuss with consumer smt Priti phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,95.42,100-90% Very High,Correct
Meter at unsafe conditionsso meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,97.45,100-90% Very High,Correct
Side unsafe for meter testing due output wire insulation damage alongwith meter box found damage so meter could not be test,Field Operations / Meter Testing,Field Operations / Meter Testing,98.71,100-90% Very High,Correct
meter install at long height so meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,96.29,100-90% Very High,Correct
Meter Hagging On Wall So Meter Unsafe Condition So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,93.76,100-90% Very High,Correct
Meter Could not be tested Meter Is hanging on the wall in unsafe for meter testing,Field Operations / Meter Testing,Field Operations / Meter Testing,99.31,100-90% Very High,Correct
No Space For Meter Testing So Meter Unsafe Condition So Meter Could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.43,100-90% Very High,Correct
Meter is at unsafe location therefore same couldnt be tested water logging and Fencing found locked rectification required for the same for meter testing Pole Number HT,Field Operations / Meter Testing,Field Operations / Meter Testing,98.58,100-90% Very High,Correct
Site found unsafe meter hanging on wire and meter box found totally broken so meter could not be tested at site,Field Operations / Meter Testing,Field Operations / Meter Testing,98.85,100-90% Very High,Correct
water logging unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,99.37,100-90% Very High,Correct
Meter at unsafe conditions so meter could not be tested at the time of testing,Field Operations / Meter Testing,Field Operations / Meter Testing,98.51,100-90% Very High,Correct
Site found unsafe meter hanging on pole and meter box found broken so meter could not be tested at site,Field Operations / Meter Testing,Field Operations / Meter Testing,98.75,100-90% Very High,Correct
Materials found front of meter at the time of testing so meter could not be test discuss with consumer sh Vimelssh phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,78.48,90-75% High,Correct
no sufficient space for ct so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,98.59,100-90% Very High,Correct
Site found unsafe meter found in unsafe condition water logging found near meter and no suitable space for meter testing,Field Operations / Meter Testing,Field Operations / Meter Testing,99.67,100-90% Very High,Correct
mccb in unsafe conditions information given to consumer,Field Operations / Meter Testing,Field Operations / Meter Testing,94.97,100-90% Very High,Correct
meter at unsafe condition meter put on near vegetation so could not be meter tasted,Field Operations / Meter Testing,Field Operations / Meter Testing,96.57,100-90% Very High,Correct
open wire at mccb outputso unsafe conditions advised consumer to repair the same,Field Operations / Meter Testing,Field Operations / Meter Testing,95.7,100-90% Very High,Correct
site under construction so meter at unsafe condition so meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.58,100-90% Very High,Correct
Side unsafe for meter testing due to materials found front of meter at the time of testing so meter could not be test discuss with consumer sh Nirmal Singh phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,94.2,100-90% Very High,Correct
Sitefound unsafe meter found in unsafecondition and meter has fallen on ground so meter needs to berectification required,Field Operations / Meter Testing,Field Operations / Meter Testing,96.48,100-90% Very High,Correct
meter at unsafe condition meter hanging on wall with armor wire,Field Operations / Meter Testing,Field Operations / Meter Testing,98.7,100-90% Very High,Correct
meter at unsafe condition Debris has fallen near the meter,Field Operations / Meter Testing,Field Operations / Meter Testing,96.99,100-90% Very High,Correct
site under construction so meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,97.9,100-90% Very High,Correct
Meter is installed at unsafe position installed at long height with jumbling there nearby of meter meter is installed at pole which couldnt be tested due to height and Cable jumbling hazard therefore same couldnt be tested rectification required for the same,Field Operations / Meter Testing,Field Operations / Meter Testing,97.42,100-90% Very High,Correct
No Space For Meter Testing Side Unsafe So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.64,100-90% Very High,Correct
Site found unsafe Meter found in unsafe condition Meter hanging on wall So meter could not be tested at site,Field Operations / Meter Testing,Field Operations / Meter Testing,99.32,100-90% Very High,Correct
Side unsafe for meter testing due to materials found front of meter at the time of testing discuss with consumer sh Harsh phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,94.41,100-90% Very High,Correct
Side unsafe for meter testing due to raw materials found front of meter discuss with consumer sh Inderjeet,Field Operations / Meter Testing,Field Operations / Meter Testing,96.18,100-90% Very High,Correct
meter site is unsafe condition meter box broken meter hang on wall so Meter couldnt be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,97.48,100-90% Very High,Correct
Side unsafe for meter testing due to meter hanging alongwith incoming service line at the time of testing discuss with consumer sh Md Aqdas phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,95.8,100-90% Very High,Correct
no sufficient space for testing vegetation near meter,Field Operations / Meter Testing,Field Operations / Meter Testing,95.97,100-90% Very High,Correct
Site found unsafe meter hanging on wall no suitable space for meter testing,Field Operations / Meter Testing,Field Operations / Meter Testing,99.1,100-90% Very High,Correct
Meter at unsafe conditions so meter could not be tested at the time of the testing,Field Operations / Meter Testing,Field Operations / Meter Testing,98.51,100-90% Very High,Correct
No Space For Meter Testing So Meter Unsafe Condition So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.43,100-90% Very High,Correct
Not suitable space for meter testing site is unsafe conditions so meter could not be test,Field Operations / Meter Testing,Field Operations / Meter Testing,97.75,100-90% Very High,Correct
Meter at unsafe conditions side unsafe for the meter testing due to materials found front of meter at the time of testing so meter could not be test discuss with consumer sh Bhanu,Field Operations / Meter Testing,Field Operations / Meter Testing,98.26,100-90% Very High,Correct
meter at unsafe condition meter install at ground level near mudd,Field Operations / Meter Testing,Field Operations / Meter Testing,96.59,100-90% Very High,Correct
Meter hanging alongwith incoming service line at the time of testing unsafe for testing so meter could not be test discuss with consumer Smt Manju,Field Operations / Meter Testing,Field Operations / Meter Testing,96.38,100-90% Very High,Correct
Site found unsafe meter found in unsafe condition meter hanging on stair so meter could not be tested at site,Field Operations / Meter Testing,Field Operations / Meter Testing,99.23,100-90% Very High,Correct
meter at unsafe condition meter hanging on wall site under construction,Field Operations / Meter Testing,Field Operations / Meter Testing,99.52,100-90% Very High,Correct
joints in output cables so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,98.67,100-90% Very High,Correct
meter box cover found broken need replacement,Field Operations / Meter Testing,Meter Replacement / Installation Team,87.16,90-75% High,Wrong
water logging so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,99.37,100-90% Very High,Correct
Site found unsafe Meter found in unsafe condition Meter hanging on wall So meter could not be tested at site,Field Operations / Meter Testing,Field Operations / Meter Testing,99.32,100-90% Very High,Correct
Side unsafe for meter testing due to materials found front of meter at the time of testing so meter could not be test discuss with consumer sh Pardeep,Field Operations / Meter Testing,Field Operations / Meter Testing,94.63,100-90% Very High,Correct
Side unsafe for meter testing due to no suitable space for meter test,Field Operations / Meter Testing,Field Operations / Meter Testing,98.52,100-90% Very High,Correct
mccb not available at site so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,96.4,100-90% Very High,Correct
Meter Hanging on Wall So Meter Unsafe Condition So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.27,100-90% Very High,Correct
meter box found broken and meter hanging,Field Operations / Meter Testing,Field Operations / Meter Testing,96.66,100-90% Very High,Correct
unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,98.93,100-90% Very High,Correct
Side unsafe for meter testing due to raw materials found of meter at the time of testing so meter could not be test,Field Operations / Meter Testing,Field Operations / Meter Testing,97.87,100-90% Very High,Correct
Side unsafe for meter testing due to renovation no space for meter testing at the time of testing so meter could not be test discuss with consumer sh Dinesh phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,94.71,100-90% Very High,Correct
Side unsafe for meter testing due to raw material found front of meter at the time of testing so meter could not be test discuss with Kapil,Field Operations / Meter Testing,Field Operations / Meter Testing,96.36,100-90% Very High,Correct
Side unsafe for meter testing due to materials found front of meter at the time of testing discuss sh Ravi,Field Operations / Meter Testing,Field Operations / Meter Testing,96.89,100-90% Very High,Correct
no space for ct so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,98.81,100-90% Very High,Correct
cable jumbling at site so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,98.52,100-90% Very High,Correct
no space for ct so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,98.81,100-90% Very High,Correct
accuacheck connection not possible in unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,96.21,100-90% Very High,Correct
no load on meter mcb not available so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,98.61,100-90% Very High,Correct
Due to unaccessablity to HT Meter Room meter couldnt be tested as no proper accessible way is been provided by Consumer Photographs has been attached,Field Operations / Meter Testing,Field Operations / Meter Testing,76.66,90-75% High,Correct
meter output cables fount burnt so unsefe condition,Field Operations / Meter Testing,Field Operations / Meter Testing,96.16,100-90% Very High,Correct
Meter unsafe Condition So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,98.95,100-90% Very High,Correct
no space for meter testing,Field Operations / Meter Testing,Field Operations / Meter Testing,96.55,100-90% Very High,Correct
meter box hanging so meter box rectification required,Field Operations / Meter Testing,Field Operations / Meter Testing,95.97,100-90% Very High,Correct
Not suitable space for meter testing,Field Operations / Meter Testing,Field Operations / Meter Testing,96.77,100-90% Very High,Correct
Side unsafe for meter testing due to materials found front of meter at the time of testing discuss with consumer sh Dharmveer phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,94.41,100-90% Very High,Correct
Meter Hanging on Wall So Meter Unsafe Condition So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.27,100-90% Very High,Correct
Meter in unsafe condition so meter could be tested at the time of testing,Field Operations / Meter Testing,Field Operations / Meter Testing,98.65,100-90% Very High,Correct
meter one phase output cables found heated so unsafe conditionsinform to consumer,Field Operations / Meter Testing,Field Operations / Meter Testing,95.58,100-90% Very High,Correct
Output wire insulation found damage alongwith loose connection at the time of testing unsafe for testing so meter could not be test discuss with consumer,Field Operations / Meter Testing,Field Operations / Meter Testing,96.28,100-90% Very High,Correct
Side unsafe for meter testing due to output wire found brunt and meter hanging at pole at the time of testing,Field Operations / Meter Testing,Field Operations / Meter Testing,98.93,100-90% Very High,Correct
Site found unsafe meter hanging on wall so meter could not be tested at site,Field Operations / Meter Testing,Field Operations / Meter Testing,98.47,100-90% Very High,Correct
meter unsafe condition meter hanging on air,Field Operations / Meter Testing,Field Operations / Meter Testing,98.85,100-90% Very High,Correct
Meter at Unsafe Conditions No space of CT conection so meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,98.24,100-90% Very High,Correct
Side unsafe for meter testing due to raw materials found front of meter at the time of testing discuss with sh Ramprasad phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,96.81,100-90% Very High,Correct
Site found unsafe meter hanging on wall so meter could not be tested at site,Field Operations / Meter Testing,Field Operations / Meter Testing,98.47,100-90% Very High,Correct
meter found in unsafe condition no suitable space for meter testing due to vegetation found near meter,Field Operations / Meter Testing,Field Operations / Meter Testing,99.09,100-90% Very High,Correct
no space for ct so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,98.81,100-90% Very High,Correct
meter hanging on wall unsafely not proper mount on wall so meter unsafe condition,Field Operations / Meter Testing,Field Operations / Meter Testing,96.79,100-90% Very High,Correct
Meter is installed at long height hence same couldnt be tested due to long height photographs has been attached,Field Operations / Meter Testing,Field Operations / Meter Testing,97.31,100-90% Very High,Correct
no space for ct so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,98.81,100-90% Very High,Correct
meter at unsafe condition meter hanging on wall not proper mount so meter could not be tasted,Field Operations / Meter Testing,Field Operations / Meter Testing,97.23,100-90% Very High,Correct
Side unsafe for meter testing at the time of testing due to site under renovation so meter could not be test,Field Operations / Meter Testing,Field Operations / Meter Testing,96.52,100-90% Very High,Correct
meter site is unsafe conditions meter insttald Long height so meter couldnt be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,98.79,100-90% Very High,Correct
no space for ct so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,98.81,100-90% Very High,Correct
