SR_NO,TEXT_REMARKS,ACTION_CATEGORY,HOLD_CANCEL_REASON,processed_text
167,low voltage in r phase from solar panel and hence no solar generation found due the same meter could not tested and rectication required from solar panel end discuss with electrician sh hawaldar,,D510,low voltage r phase solar panel solar generation meter test rectication requir solar panel end discus electrician sh hawaldar
13906,visit not done and case cancelled as per mail and notepad entry,,D560,visit case cancell mail notepad entry
14496,meter already tested two time,,D570,meter test time
14551,wrong notification generated,,D580,wrong notification generat
101,insufficient load found at site so meter could not be tested,,D601,insufficient load site meter test
777,meter at over hight so meter could not be tested,,D603,meter hight meter test
15147,water logging found at site so meter could not be tested,,D606,water logg site meter test
1,consumer refused to test the meter so meter could not be tested at site,,D610,consumer refus test meter meter test site
32,meter not found on specified location also wrong numbers are been provided so no communication could be build for tracing meter,,D030,meter specifi location wrong number provid communication build trac meter
41,address not found at the mentioned pole so meter could not be tested,,D030,addres mention pole meter test
58,address not found at the mention pole mobile number available but not proper response so meter not be tested,,D030,addres mention pole mobile number available proper response meter test
59,no responsible person found at site also no response on telecommunication hence meter is not traceable therefore same couldnt be tested,,D030,responsible person site response telecommunication meter traceable test
66,adress not found at the mention pole and mobile number available but mobile number not correct so meter could not be tested,,D030,adres mention pole mobile number available mobile number correct meter test
69,address not found at the mention pole mobile number available but cansumer not corrective response so meter could not be tested,,D030,addres mention pole mobile number available cansumer corrective response meter test
75,address not found at the mention pole and mobile number available but mobile not proper response so meter could not be tested,,D030,addres mention pole mobile number available mobile proper response meter test
80,address not found at the mention pole mobile number available but not proper corrective response so meter could not be tested,,D030,addres mention pole mobile number available proper corrective response meter test
85,meter not found on pole and contact number not found in ffa,,D030,meter pole contact number ffa
98,adress not found at the mention pole mobile number available but mobile number not corrective response so meter could not be tested,,D030,adres mention pole mobile number available mobile number corrective response meter test
567,mentioned meter is not found at mentioned address meter is not traceable therefore same couldnt be tested,,D030,mention meter mention addres meter traceable test
135,consumer going to village consumer want some time in week,,D120,consumer go village consumer want time week
152,as per telephonic talk with consumer consumer not available at site consumer want some time for meter testing,,D120,telephonic talk consumer consumer available site consumer want time meter test
2900,meter terminal and meter box seals are found broken so meter suspected refer to enforcement,,D168,meter terminal meter box seal broken meter suspect refer enforcement
179,mechanical meter found at site accuracy of meter is within the limit but the meter needs to be replaced under mass meter category as meter is of class,,D255,mechanical meter site accuracy meter limit meter need replac mas meter category meter clas
202,mechanical meter found at site accuracy of meter is within the limit but the meter needs to be replaced under mass meter category as meter is of class,,D255,mechanical meter site accuracy meter limit meter need replac mas meter category meter clas
206,meter tested as per all safety normsall display parameters found ok at the time of meter testing meter need to replace under mass meter category,,D255,meter test safety normsall display parameter ok time meter test meter ne replace mas meter category
223,mechanical meter found at site accuracy of meter is within the limit but the meter needs to be replaced under mass meter category as meter is of class,,D255,mechanical meter site accuracy meter limit meter need replac mas meter category meter clas
225,meter tested as per all safety normsall display parameters found ok at the time of meter testing meter need to replace under mass meter category,,D255,meter test safety normsall display parameter ok time meter test meter ne replace mas meter category
226,meter tested as per safety norms meter accuracy found within limit at the time of testingmeter found nonreprogramm at site so meter needs to replacement required,,D255,meter test safety norm meter accuracy limit time testingmeter nonreprogramm site meter need replacement requir
228,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
250,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
256,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
259,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
268,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
277,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
297,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
304,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
313,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
319,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
329,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
330,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
340,nonreprogrammed meter found at site hence same needs to be replace under mass meter category accuracy is within limit,,D255,nonreprogramm meter site need replace mas meter category accuracy limit
350,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
364,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
389,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
390,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
391,meter rtc fail at the time of the testingso meter is defective meter needs to replace,,D255,meter rtc fail time testingso meter defective meter need replace
399,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
401,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
404,meter rtc fail at the time of the testingso meter is defective meter needs to replace,,D255,meter rtc fail time testingso meter defective meter need replace
408,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
420,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
428,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
438,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
439,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
452,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
478,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
482,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
483,meter rtc fail at the time of the testingso meter is defective meter needs to replace,,D255,meter rtc fail time testingso meter defective meter need replace
486,meter rtc fail at the time of the testingso meter is defective meter needs to replace,,D255,meter rtc fail time testingso meter defective meter need replace
492,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
498,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
520,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
548,meter rtc fail at the time of the testingso meter is defective meter needs to replace,,D255,meter rtc fail time testingso meter defective meter need replace
565,meter accuracy found ok at the time of meter testing but mechanical meter found at site meter is of class hence replacement required for same under mass meter category,,D255,meter accuracy ok time meter test mechanical meter site meter clas replacement requir mas meter category
566,meter rtc fail at the time of the testingso meter is defective meter needs to replace,,D255,meter rtc fail time testingso meter defective meter need replace
574,meter already replaced,,D270,meter replac
587,meter replaced on date,,D270,meter replac date
600,meter already replaced at site new meter no,,D270,meter replac site new meter
601,meter already replaced new meter no found and said meter no not found at side discuss with back office abishek as per system meter retain at side,,D270,meter replac new meter said meter discus office abishek meter retain
602,the meter was already replaced on the replacement date new meter number is,,D270,meter replac replacement date new meter number
608,meter replaced on date,,D270,meter replac date
614,meter already replaced meter found at site,,D270,meter replac meter site
620,meter found already replaced with new meter no discuss with back office sh abhishek,,D270,meter replac new meter discus office sh abhishek
621,meter already replaced meter no installed on date,,D270,meter replac meter install date
623,inactive meter at site meter already replaced hence meter couldnt be tested and this request needs to be closed,,D270,inactive meter site meter replac meter test request need clos
632,meter already replaced meter found at site,,D270,meter replac meter site
635,meter no found at site meter no already removed as per sap,,D270,meter site meter remov sap
642,new meter is installed at site this meter is retained at site as per system,,D270,new meter install site meter retain site
660,meter already replaced and this said meter is retained at site with ceg paper seal dated of ir,,D270,meter replac said meter retain site ceg paper seal dat ir
661,meter already change new meter no old meter no,,D270,meter change new meter old meter
674,meter already replaced new meter no,,D270,meter replac new meter
681,meter already replaced photograph is attached,,D270,meter replac photograph attach
682,meter already replaced at site new meter no,,D270,meter replac site new meter
692,meter already replaced new meter number is,,D270,meter replac new meter number
693,case already executed,,D270,case execut
694,meter already replaced meter found at site,,D270,meter replac meter site
710,meter already replaced new meter no,,D270,meter replac new meter
715,meter already replaced new meter installed at site new meter number is,,D270,meter replac new meter install site new meter number
723,meter already replaced new meter no,,D270,meter replac new meter
730,meter already replaced at site,,D270,meter replac site
734,meter already replaced at site,,D270,meter replac site
772,meter already replaced new meter is,,D270,meter replac new meter
773,meter already replaced new meter at site meter number is,,D270,meter replac new meter site meter number
775,insufficient loadgeneration found hence meter couldnt be tested,,D270,insufficient loadgeneration meter test
13734,said meter is already replaced at site on new meter number is,,D270,said meter replac site new meter number
793,no space for ct so unsafe conditions aqua check connection,,D271,space ct unsafe condition aqua check connection
811,side unsafe for meter testing due to open joints alongwith jumbling of wire so meter could not be test discuss with consumer sh vijender singh phone no,,D271,unsafe meter test open joint alongwith jumbl wire meter test discus consumer sh vijender singh phone
816,site found unsafe meter found in unsafe condition and meter has fallen on ground so meter needs to be rectification required,,D271,site unsafe meter unsafe condition meter fallen ground meter need rectification requir
819,meter hanging on wall meter unsafe condition so meter could not be tested,,D271,meter hang wall meter unsafe condition meter test
821,meter hanging alongwith incoming service line at the time of testing unsafe for testing so meter could not be test discuss with consumer smt priti phone no,,D271,meter hang alongwith incom service line time test unsafe test meter test discus consumer smt priti phone
825,meter at unsafe conditionsso meter could not be tested,,D271,meter unsafe conditionsso meter test
830,side unsafe for meter testing due output wire insulation damage alongwith meter box found damage so meter could not be test,,D271,unsafe meter test output wire insulation damage alongwith meter box damage meter test
839,meter install at long height so meter could not be tested,,D271,meter install long height meter test
848,meter hagging on wall so meter unsafe condition so meter could not be tested,,D271,meter hagg wall meter unsafe condition meter test
855,meter could not be tested meter is hanging on the wall in unsafe for meter testing,,D271,meter test meter hang wall unsafe meter test
870,no space for meter testing so meter unsafe condition so meter could not be tested,,D271,space meter test meter unsafe condition meter test
874,meter is at unsafe location therefore same couldnt be tested water logging and fencing found locked rectification required for the same for meter testing pole number ht,,D271,meter unsafe location test water logg fenc lock rectification requir meter test pole number ht
875,site found unsafe meter hanging on wire and meter box found totally broken so meter could not be tested at site,,D271,site unsafe meter hang wire meter box totally broken meter test site
877,water logging unsafe conditions,,D271,water logg unsafe condition
890,meter at unsafe conditions so meter could not be tested at the time of testing,,D271,meter unsafe condition meter test time test
894,site found unsafe meter hanging on pole and meter box found broken so meter could not be tested at site,,D271,site unsafe meter hang pole meter box broken meter test site
904,materials found front of meter at the time of testing so meter could not be test discuss with consumer sh vimelssh phone no,,D271,material meter time test meter test discus consumer sh vimelssh phone
907,no sufficient space for ct so unsafe conditions,,D271,sufficient space ct unsafe condition
912,site found unsafe meter found in unsafe condition water logging found near meter and no suitable space for meter testing,,D271,site unsafe meter unsafe condition water logg near meter suitable space meter test
917,mccb in unsafe conditions information given to consumer,,D271,mccb unsafe condition information given consumer
922,meter at unsafe condition meter put on near vegetation so could not be meter tasted,,D271,meter unsafe condition meter near vegetation meter tast
928,open wire at mccb outputso unsafe conditions advised consumer to repair the same,,D271,open wire mccb outputso unsafe condition advis consumer repair
934,site under construction so meter at unsafe condition so meter could not be tested,,D271,site construction meter unsafe condition meter test
941,side unsafe for meter testing due to materials found front of meter at the time of testing so meter could not be test discuss with consumer sh nirmal singh phone no,,D271,unsafe meter test material meter time test meter test discus consumer sh nirmal singh phone
944,sitefound unsafe meter found in unsafecondition and meter has fallen on ground so meter needs to berectification required,,D271,sitefound unsafe meter unsafecondition meter fallen ground meter need berectification requir
945,meter at unsafe condition meter hanging on wall with armor wire,,D271,meter unsafe condition meter hang wall armor wire
955,meter at unsafe condition debris has fallen near the meter,,D271,meter unsafe condition debri fallen near meter
964,site under construction so meter could not be tested,,D271,site construction meter test
967,meter is installed at unsafe position installed at long height with jumbling there nearby of meter meter is installed at pole which couldnt be tested due to height and cable jumbling hazard therefore same couldnt be tested rectification required for the same,,D271,meter install unsafe position install long height jumbl nearby meter meter install pole test height cable jumbl hazard test rectification requir
970,no space for meter testing side unsafe so meter could not be tested,,D271,space meter test unsafe meter test
973,site found unsafe meter found in unsafe condition meter hanging on wall so meter could not be tested at site,,D271,site unsafe meter unsafe condition meter hang wall meter test site
975,side unsafe for meter testing due to materials found front of meter at the time of testing discuss with consumer sh harsh phone no,,D271,unsafe meter test material meter time test discus consumer sh harsh phone
988,side unsafe for meter testing due to raw materials found front of meter discuss with consumer sh inderjeet,,D271,unsafe meter test raw material meter discus consumer sh inderjeet
992,meter site is unsafe condition meter box broken meter hang on wall so meter couldnt be tested,,D271,meter site unsafe condition meter box broken meter hang wall meter test
1007,side unsafe for meter testing due to meter hanging alongwith incoming service line at the time of testing discuss with consumer sh md aqdas phone no,,D271,unsafe meter test meter hang alongwith incom service line time test discus consumer sh md aqda phone
1014,no sufficient space for testing vegetation near meter,,D271,sufficient space test vegetation near meter
1022,site found unsafe meter hanging on wall no suitable space for meter testing,,D271,site unsafe meter hang wall suitable space meter test
1031,meter at unsafe conditions so meter could not be tested at the time of the testing,,D271,meter unsafe condition meter test time test
1037,no space for meter testing so meter unsafe condition so meter could not be tested,,D271,space meter test meter unsafe condition meter test
1044,not suitable space for meter testing site is unsafe conditions so meter could not be test,,D271,suitable space meter test site unsafe condition meter test
1045,meter at unsafe conditions side unsafe for the meter testing due to materials found front of meter at the time of testing so meter could not be test discuss with consumer sh bhanu,,D271,meter unsafe condition unsafe meter test material meter time test meter test discus consumer sh bhanu
1050,meter at unsafe condition meter install at ground level near mudd,,D271,meter unsafe condition meter install ground level near mudd
1052,meter hanging alongwith incoming service line at the time of testing unsafe for testing so meter could not be test discuss with consumer smt manju,,D271,meter hang alongwith incom service line time test unsafe test meter test discus consumer smt manju
1053,site found unsafe meter found in unsafe condition meter hanging on stair so meter could not be tested at site,,D271,site unsafe meter unsafe condition meter hang stair meter test site
1054,meter at unsafe condition meter hanging on wall site under construction,,D271,meter unsafe condition meter hang wall site construction
1059,joints in output cables so unsafe conditions,,D271,joint output cable unsafe condition
1064,meter box cover found broken need replacement,,D271,meter box cover broken ne replacement
1072,water logging so unsafe conditions,,D271,water logg unsafe condition
1077,site found unsafe meter found in unsafe condition meter hanging on wall so meter could not be tested at site,,D271,site unsafe meter unsafe condition meter hang wall meter test site
1080,side unsafe for meter testing due to materials found front of meter at the time of testing so meter could not be test discuss with consumer sh pardeep,,D271,unsafe meter test material meter time test meter test discus consumer sh pardeep
1085,side unsafe for meter testing due to no suitable space for meter test,,D271,unsafe meter test suitable space meter test
1096,mccb not available at site so unsafe conditions,,D271,mccb available site unsafe condition
1097,meter hanging on wall so meter unsafe condition so meter could not be tested,,D271,meter hang wall meter unsafe condition meter test
1099,meter box found broken and meter hanging,,D271,meter box broken meter hang
1107,unsafe conditions,,D271,unsafe condition
1108,side unsafe for meter testing due to raw materials found of meter at the time of testing so meter could not be test,,D271,unsafe meter test raw material meter time test meter test
1127,side unsafe for meter testing due to renovation no space for meter testing at the time of testing so meter could not be test discuss with consumer sh dinesh phone no,,D271,unsafe meter test renovation space meter test time test meter test discus consumer sh dinesh phone
1129,side unsafe for meter testing due to raw material found front of meter at the time of testing so meter could not be test discuss with kapil,,D271,unsafe meter test raw material meter time test meter test discus kapil
1133,side unsafe for meter testing due to materials found front of meter at the time of testing discuss sh ravi,,D271,unsafe meter test material meter time test discus sh ravi
1135,no space for ct so unsafe conditions,,D271,space ct unsafe condition
1137,cable jumbling at site so unsafe conditions,,D271,cable jumbl site unsafe condition
1156,no space for ct so unsafe conditions,,D271,space ct unsafe condition
1174,accuacheck connection not possible in unsafe conditions,,D271,accuacheck connection possible unsafe condition
1181,no load on meter mcb not available so unsafe conditions,,D271,load meter mcb available unsafe condition
1194,due to unaccessablity to ht meter room meter couldnt be tested as no proper accessible way is been provided by consumer photographs has been attached,,D271,unaccessablity ht meter room meter test proper accessible way provid consumer photograph attach
1196,meter output cables fount burnt so unsefe condition,,D271,meter output cable fount burnt unsefe condition
1201,meter unsafe condition so meter could not be tested,,D271,meter unsafe condition meter test
1217,no space for meter testing,,D271,space meter test
1225,meter box hanging so meter box rectification required,,D271,meter box hang meter box rectification requir
1229,not suitable space for meter testing,,D271,suitable space meter test
1231,side unsafe for meter testing due to materials found front of meter at the time of testing discuss with consumer sh dharmveer phone no,,D271,unsafe meter test material meter time test discus consumer sh dharmveer phone
1239,meter hanging on wall so meter unsafe condition so meter could not be tested,,D271,meter hang wall meter unsafe condition meter test
1243,meter in unsafe condition so meter could be tested at the time of testing,,D271,meter unsafe condition meter test time test
1255,meter one phase output cables found heated so unsafe conditionsinform to consumer,,D271,meter phase output cable heat unsafe conditionsinform consumer
1256,output wire insulation found damage alongwith loose connection at the time of testing unsafe for testing so meter could not be test discuss with consumer,,D271,output wire insulation damage alongwith loose connection time test unsafe test meter test discus consumer
1269,side unsafe for meter testing due to output wire found brunt and meter hanging at pole at the time of testing,,D271,unsafe meter test output wire brunt meter hang pole time test
1273,site found unsafe meter hanging on wall so meter could not be tested at site,,D271,site unsafe meter hang wall meter test site
1275,meter unsafe condition meter hanging on air,,D271,meter unsafe condition meter hang air
1280,meter at unsafe conditions no space of ct conection so meter could not be tested,,D271,meter unsafe condition space ct conection meter test
1284,side unsafe for meter testing due to raw materials found front of meter at the time of testing discuss with sh ramprasad phone no,,D271,unsafe meter test raw material meter time test discus sh ramprasad phone
1289,site found unsafe meter hanging on wall so meter could not be tested at site,,D271,site unsafe meter hang wall meter test site
1291,meter found in unsafe condition no suitable space for meter testing due to vegetation found near meter,,D271,meter unsafe condition suitable space meter test vegetation near meter
1294,no space for ct so unsafe conditions,,D271,space ct unsafe condition
1295,meter hanging on wall unsafely not proper mount on wall so meter unsafe condition,,D271,meter hang wall unsafely proper mount wall meter unsafe condition
1304,meter is installed at long height hence same couldnt be tested due to long height photographs has been attached,,D271,meter install long height test long height photograph attach
1307,no space for ct so unsafe conditions,,D271,space ct unsafe condition
1308,meter at unsafe condition meter hanging on wall not proper mount so meter could not be tasted,,D271,meter unsafe condition meter hang wall proper mount meter tast
1316,side unsafe for meter testing at the time of testing due to site under renovation so meter could not be test,,D271,unsafe meter test time test site renovation meter test
1319,meter site is unsafe conditions meter insttald long height so meter couldnt be tested,,D271,meter site unsafe condition meter insttald long height meter test
1328,no space for ct so unsafe conditions,,D271,space ct unsafe condition
1331,meter site is unsafe conditionmeter installed logh height more than feet so meter couldnt be tested,,D271,meter site unsafe conditionmeter install logh height feet meter test
1339,meter site is unsafe conditions meter hang on wall so meter couldnt be tested,,D271,meter site unsafe condition meter hang wall meter test
1342,side unsafe for meter testing due to materials found front of meter at the time of testing so meter could not be test discuss with consumer sh krishna pandey phone no,,D271,unsafe meter test material meter time test meter test discus consumer sh krishna pandey phone
1347,meter installed in stairs so unsafe conditions,,D271,meter install stair unsafe condition
1357,meter fully unsafe condition meter hanging on pole so meter unsafe could not be tasted,,D271,meter fully unsafe condition meter hang pole meter unsafe tast
1362,side unsafe for meter testing due to no suitable space for meter test discuss with consumer sh lakhan phone no,,D271,unsafe meter test suitable space meter test discus consumer sh lakhan phone
1367,side unsafe for meter testing due to materials found front of meter at the time of testing discuss with consumer sh hawa singh phone no,,D271,unsafe meter test material meter time test discus consumer sh hawa singh phone
1369,side unsafe for meter testing due to no suitable space for meter test at the time of testing,,D271,unsafe meter test suitable space meter test time test
1373,no space for ct so unsafe conditions,,D271,space ct unsafe condition
1387,meter at unsafe condition meter fell down the stairs,,D271,meter unsafe condition meter fell stair
1388,side unsafe for meter testing due to materials found front of meter at the time of testing so meter could not be test,,D271,unsafe meter test material meter time test meter test
1389,side unsafe for meter testing due to meter found long height so meter could not be test,,D271,unsafe meter test meter long height meter test
1391,meter hanging on the pole so unsafe conditions,,D271,meter hang pole unsafe condition
1393,meter installed on height more than fit so meter is unsafe conditions so meter could not be test,,D271,meter install height fit meter unsafe condition meter test
1404,meter on height fit so meter unsafe condition so meter could not be tested,,D271,meter height fit meter unsafe condition meter test
1408,meter is installed at unsafe location used scrap seals found inside the meter chamber box with treansformer oil filled inside the chamber also oil leakage from upper valve of transformer hence meter could not be tested and mail sent to zone,,D271,meter install unsafe location us scrap seal inside meter chamber box treansformer oil fill inside chamber oil leakage upper valve transformer meter test mail sent zone
1414,no space for meter testing no suitable space for meter testing so meter unsafe condition so meter could not be tested,,D271,space meter test suitable space meter test meter unsafe condition meter test
1415,side unsafe for meter testing due to wire insulation damage the squirrel has cut the output wire insulation so meter could not be test discuss with consumer sh ramavtar phone no,,D271,unsafe meter test wire insulation damage squirrel cut output wire insulation meter test discus consumer sh ramavtar phone
2129,meter site is unsafe condition meter incoming wire pvc insulation broken so meter site unsafe condition thatsway meter couldnt be tested,,D271,meter site unsafe condition meter incom wire pvc insulation broken meter site unsafe condition thatsway meter test
1419,meter tested as per all safety normsall display parameters found ok at the time of meter testingmeter box found damage,,D275,meter test safety normsall display parameter ok time meter testingmeter box damage
1420,meter box damage so meter could not be tested,,D275,meter box damage meter test
1421,meter box damage and unsafe conditions so meter could not be tested,,D275,meter box damage unsafe condition meter test
1443,meter box damageso meter could not be tested at the time of the testing,,D275,meter box damageso meter test time test
1448,meter box damage on back side,,D275,meter box damage
1451,meter not traceable pole no wrong,,D315,meter traceable pole wrong
1459,meter not traceable pole no wrong,,D315,meter traceable pole wrong
1465,meter not traceable at site,,D315,meter traceable site
1468,meter not tracebale at site so meter could not be test,,D315,meter tracebale site meter test
1482,site meter not traceable so meter couldnt be tested at the time of testing,,D315,site meter traceable meter test time test
1493,meter not traceable at site no call response,,D315,meter traceable site response
1507,site meter not traceable at site no response on given phone number so meter couldnt be tested at the time of testing,,D315,site meter traceable site response given phone number meter test time test
1515,meter not traceable at site,,D315,meter traceable site
1518,meter not traceable at site said pole at the time of testing,,D315,meter traceable site said pole time test
1523,site meter not traceable at site no response on given phone number so meter couldnt be tested at the time of testing,,D315,site meter traceable site response given phone number meter test time test
1524,meter not traceable at site no and phone not working,,D315,meter traceable site phone work
1533,meter not traceable at site so meter could not be tested,,D315,meter traceable site meter test
1559,meter not traceable said pole at the time of testing so meter could not be test,,D315,meter traceable said pole time test meter test
1584,cover open event appear on meter displayrefer to ceg,,D320,cover open event appear meter displayrefer ceg
1587,meter stop at so case send to ceg team for further inspaction,,D320,meter stop case send ceg team inspaction
1602,meter display show cover openso meter is suspected and referred to ceg for further analysis,,D320,meter display cover openso meter suspect referr ceg analysi
1604,meter is suspected refer to ceg,,D320,meter suspect refer ceg
1614,meter calibration led is not blinking on loadmeter box seal was missing however terminal seal was interacted,,D320,meter calibration led blink loadmeter box seal miss terminal seal interact
1616,meter reading reverse jump hence referred to ceg for further investigation,,D320,meter read reverse jump referr ceg investigation
1617,meter incoming phase terminal burnt so meter suspected refer to ceg for further analysis,,D320,meter incom phase terminal burnt meter suspect refer ceg analysi
1618,meter parameters not matched with standard meter accucheak at the time of testing so this case is referred to ceg for further examination or analysis,,D320,meter parameter match standard meter accucheak time test case referr ceg examination analysi
1625,meter terminal meter box both seals are not found so meter could not be tested refer to ceg,,D320,meter terminal meter box seal meter test refer ceg
1630,meter incoming terminal burnt so meter is suspected refer to ceg for further analysis at the time of testing,,D320,meter incom terminal burnt meter suspect refer ceg analysi time test
