TEXT_REMARKS,ACTION_CATEGORY,PREDICTED_DEPARTMENT,CONFIDENCE_SCORE,CONFIDENCE_RANGE,MATCH_STATUS,IS_MATCH
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Nonreprogrammed meter found at site hence same needs to be replace under mass meter category accuracy is within limit,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.18,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Mentioned meter is not found at mentioned address meter is not traceable therefore same couldnt be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.92,100-90% Very High,Correct,TRUE
meter already replaced,Scheduling / Field Dispatch Team,No Action Needed,99.47,100-90% Very High,Wrong,FALSE
meter already replaced,Scheduling / Field Dispatch Team,No Action Needed,99.47,100-90% Very High,Wrong,FALSE
meter replaced on date,Scheduling / Field Dispatch Team,No Action Needed,98.9,100-90% Very High,Wrong,FALSE
Meter already replaced at site New meter No,Scheduling / Field Dispatch Team,No Action Needed,98.21,100-90% Very High,Wrong,FALSE
Meter already replaced new meter no found and said meter no not found at side discuss with back office Abishek as per system meter Retain at side,Scheduling / Field Dispatch Team,No Action Needed,98.67,100-90% Very High,Wrong,FALSE
The meter was already replaced on the replacement date New Meter number is,Scheduling / Field Dispatch Team,No Action Needed,97.42,100-90% Very High,Wrong,FALSE
meter replaced on date,Scheduling / Field Dispatch Team,No Action Needed,98.9,100-90% Very High,Wrong,FALSE
meter already replaced meter found at site,Scheduling / Field Dispatch Team,No Action Needed,96.85,100-90% Very High,Wrong,FALSE
Meter found already replaced with new meter no discuss with back office sh Abhishek,Scheduling / Field Dispatch Team,No Action Needed,98.26,100-90% Very High,Wrong,FALSE
meter already replaced meter no installed on date,Scheduling / Field Dispatch Team,No Action Needed,97.58,100-90% Very High,Wrong,FALSE
Inactive meter at site meter already replaced hence meter couldnt be tested and this request needs to be closed,Scheduling / Field Dispatch Team,No Action Needed,95.38,100-90% Very High,Wrong,FALSE
METER ALREADY REPLACED METER FOUND AT SITE,Scheduling / Field Dispatch Team,No Action Needed,96.85,100-90% Very High,Wrong,FALSE
meter no found at site meter no already removed as per SAP,Scheduling / Field Dispatch Team,No Action Needed,55.48,75-50% Medium,Wrong,FALSE
New meter is installed at site this meter is retained at site as per system,Scheduling / Field Dispatch Team,Field Operations / Meter Testing,65.03,75-50% Medium,Wrong,FALSE
Meter already replaced and This said meter is retained at site with CEG Paper seal dated Of IR,Scheduling / Field Dispatch Team,No Action Needed,91.27,100-90% Very High,Wrong,FALSE
Meter Already Change New Meter no Old Meter no,Scheduling / Field Dispatch Team,No Action Needed,65.62,75-50% Medium,Wrong,FALSE
Meter already replaced New Meter No,Scheduling / Field Dispatch Team,No Action Needed,99.47,100-90% Very High,Wrong,FALSE
Meter already replaced photograph is attached,Scheduling / Field Dispatch Team,No Action Needed,99.07,100-90% Very High,Wrong,FALSE
Meter already replaced at site New meter no,Scheduling / Field Dispatch Team,No Action Needed,98.21,100-90% Very High,Wrong,FALSE
Meter already replaced New meter number is,Scheduling / Field Dispatch Team,No Action Needed,98.32,100-90% Very High,Wrong,FALSE
Case already executed,Scheduling / Field Dispatch Team,No Action Needed,25.47,Below 50% Low,Wrong,FALSE
meter already replaced meter found at site,Scheduling / Field Dispatch Team,No Action Needed,96.85,100-90% Very High,Wrong,FALSE
Meter already replaced New meter No,Scheduling / Field Dispatch Team,No Action Needed,99.47,100-90% Very High,Wrong,FALSE
meter already replaced new meter installed at site new meter number is,Scheduling / Field Dispatch Team,No Action Needed,91.47,100-90% Very High,Wrong,FALSE
Meter already replaced New Meter No,Scheduling / Field Dispatch Team,No Action Needed,99.47,100-90% Very High,Wrong,FALSE
Meter already replaced at site,Scheduling / Field Dispatch Team,No Action Needed,95.36,100-90% Very High,Wrong,FALSE
meter already replaced at site,Scheduling / Field Dispatch Team,No Action Needed,95.36,100-90% Very High,Wrong,FALSE
Meter Already Replaced new meter is,Scheduling / Field Dispatch Team,No Action Needed,99.47,100-90% Very High,Wrong,FALSE
Meter already replaced new meter at site meter number is,Scheduling / Field Dispatch Team,No Action Needed,94.64,100-90% Very High,Wrong,FALSE
Insufficient loadGeneration found hence meter couldnt be tested,Scheduling / Field Dispatch Team,Field Operations / Meter Testing,99.75,100-90% Very High,Wrong,FALSE
Meter at over hight so meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,46.78,Below 50% Low,Correct,TRUE
Site unsafe for meter testing discuss with consumer sh Ravinder Dabas phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,94.32,100-90% Very High,Correct,TRUE
no space for ct so unsafe conditions aqua check connection,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due to open joints alongwith jumbling of wire so meter could not be test discuss with consumer sh Vijender Singh phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,99.53,100-90% Very High,Correct,TRUE
Site found unsafe meter found in unsafe condition and meter has fallen on ground so meter needs to be rectification required,Field Operations / Meter Testing,Field Operations / Meter Testing,99.98,100-90% Very High,Correct,TRUE
Meter Hanging on Wall Meter Unsafe Condition So Meter Could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
Meter Hanging alongwith incoming service line at the time of testing unsafe for testing so meter could not be test discuss with consumer smt Priti phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,99.26,100-90% Very High,Correct,TRUE
Meter at unsafe conditionsso meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.79,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due output wire insulation damage alongwith meter box found damage so meter could not be test,Field Operations / Meter Testing,Field Operations / Meter Testing,99.91,100-90% Very High,Correct,TRUE
meter install at long height so meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.7,100-90% Very High,Correct,TRUE
Meter Hagging On Wall So Meter Unsafe Condition So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.91,100-90% Very High,Correct,TRUE
Meter Could not be tested Meter Is hanging on the wall in unsafe for meter testing,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
No Space For Meter Testing So Meter Unsafe Condition So Meter Could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
Meter is at unsafe location therefore same couldnt be tested water logging and Fencing found locked rectification required for the same for meter testing Pole Number HT,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
Site found unsafe meter hanging on wire and meter box found totally broken so meter could not be tested at site,Field Operations / Meter Testing,Field Operations / Meter Testing,99.97,100-90% Very High,Correct,TRUE
water logging unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
Meter at unsafe conditions so meter could not be tested at the time of testing,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
Site found unsafe meter hanging on pole and meter box found broken so meter could not be tested at site,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
Materials found front of meter at the time of testing so meter could not be test discuss with consumer sh Vimelssh phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,68.67,75-50% Medium,Correct,TRUE
no sufficient space for ct so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,99.98,100-90% Very High,Correct,TRUE
Site found unsafe meter found in unsafe condition water logging found near meter and no suitable space for meter testing,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
mccb in unsafe conditions information given to consumer,Field Operations / Meter Testing,Field Operations / Meter Testing,99.93,100-90% Very High,Correct,TRUE
meter at unsafe condition meter put on near vegetation so could not be meter tasted,Field Operations / Meter Testing,Field Operations / Meter Testing,99.97,100-90% Very High,Correct,TRUE
open wire at mccb outputso unsafe conditions advised consumer to repair the same,Field Operations / Meter Testing,Field Operations / Meter Testing,98.43,100-90% Very High,Correct,TRUE
site under construction so meter at unsafe condition so meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due to materials found front of meter at the time of testing so meter could not be test discuss with consumer sh Nirmal Singh phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,96.35,100-90% Very High,Correct,TRUE
Sitefound unsafe meter found in unsafecondition and meter has fallen on ground so meter needs to berectification required,Field Operations / Meter Testing,Field Operations / Meter Testing,99.59,100-90% Very High,Correct,TRUE
meter at unsafe condition meter hanging on wall with armor wire,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
meter at unsafe condition Debris has fallen near the meter,Field Operations / Meter Testing,Field Operations / Meter Testing,99.96,100-90% Very High,Correct,TRUE
site under construction so meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.9,100-90% Very High,Correct,TRUE
Meter is installed at unsafe position installed at long height with jumbling there nearby of meter meter is installed at pole which couldnt be tested due to height and Cable jumbling hazard therefore same couldnt be tested rectification required for the same,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
No Space For Meter Testing Side Unsafe So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
Site found unsafe Meter found in unsafe condition Meter hanging on wall So meter could not be tested at site,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due to materials found front of meter at the time of testing discuss with consumer sh Harsh phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,99.8,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due to raw materials found front of meter discuss with consumer sh Inderjeet,Field Operations / Meter Testing,Field Operations / Meter Testing,99.95,100-90% Very High,Correct,TRUE
meter site is unsafe condition meter box broken meter hang on wall so Meter couldnt be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.96,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due to meter hanging alongwith incoming service line at the time of testing discuss with consumer sh Md Aqdas phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,94,100-90% Very High,Correct,TRUE
no sufficient space for testing vegetation near meter,Field Operations / Meter Testing,Field Operations / Meter Testing,99.62,100-90% Very High,Correct,TRUE
Site found unsafe meter hanging on wall no suitable space for meter testing,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
Meter at unsafe conditions so meter could not be tested at the time of the testing,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
No Space For Meter Testing So Meter Unsafe Condition So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
Not suitable space for meter testing site is unsafe conditions so meter could not be test,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
Meter at unsafe conditions side unsafe for the meter testing due to materials found front of meter at the time of testing so meter could not be test discuss with consumer sh Bhanu,Field Operations / Meter Testing,Field Operations / Meter Testing,99.97,100-90% Very High,Correct,TRUE
meter at unsafe condition meter install at ground level near mudd,Field Operations / Meter Testing,Field Operations / Meter Testing,99.76,100-90% Very High,Correct,TRUE
Meter hanging alongwith incoming service line at the time of testing unsafe for testing so meter could not be test discuss with consumer Smt Manju,Field Operations / Meter Testing,Field Operations / Meter Testing,99.41,100-90% Very High,Correct,TRUE
Site found unsafe meter found in unsafe condition meter hanging on stair so meter could not be tested at site,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
meter at unsafe condition meter hanging on wall site under construction,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
joints in output cables so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,99.95,100-90% Very High,Correct,TRUE
meter box cover found broken need replacement,Field Operations / Meter Testing,Meter Replacement / Installation Team,77.57,90-75% High,Wrong,FALSE
water logging so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
Site found unsafe Meter found in unsafe condition Meter hanging on wall So meter could not be tested at site,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due to materials found front of meter at the time of testing so meter could not be test discuss with consumer sh Pardeep,Field Operations / Meter Testing,Field Operations / Meter Testing,98.92,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due to no suitable space for meter test,Field Operations / Meter Testing,Field Operations / Meter Testing,99.98,100-90% Very High,Correct,TRUE
mccb not available at site so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,99.87,100-90% Very High,Correct,TRUE
Meter Hanging on Wall So Meter Unsafe Condition So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
meter box found broken and meter hanging,Field Operations / Meter Testing,Field Operations / Meter Testing,98.61,100-90% Very High,Correct,TRUE
unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,99.98,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due to raw materials found of meter at the time of testing so meter could not be test,Field Operations / Meter Testing,Field Operations / Meter Testing,99.98,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due to renovation no space for meter testing at the time of testing so meter could not be test discuss with consumer sh Dinesh phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,99.84,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due to raw material found front of meter at the time of testing so meter could not be test discuss with Kapil,Field Operations / Meter Testing,Field Operations / Meter Testing,99.84,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due to materials found front of meter at the time of testing discuss sh Ravi,Field Operations / Meter Testing,Field Operations / Meter Testing,99.91,100-90% Very High,Correct,TRUE
no space for ct so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
cable jumbling at site so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
no space for ct so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
accuacheck connection not possible in unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,99.85,100-90% Very High,Correct,TRUE
no load on meter mcb not available so unsafe conditions,Field Operations / Meter Testing,Field Operations / Meter Testing,99.96,100-90% Very High,Correct,TRUE
Due to unaccessablity to HT Meter Room meter couldnt be tested as no proper accessible way is been provided by Consumer Photographs has been attached,Field Operations / Meter Testing,Field Operations / Meter Testing,88.28,90-75% High,Correct,TRUE
meter output cables fount burnt so unsefe condition,Field Operations / Meter Testing,Field Operations / Meter Testing,99.59,100-90% Very High,Correct,TRUE
Meter unsafe Condition So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
no space for meter testing,Field Operations / Meter Testing,Field Operations / Meter Testing,99.79,100-90% Very High,Correct,TRUE
meter box hanging so meter box rectification required,Field Operations / Meter Testing,Field Operations / Meter Testing,98.42,100-90% Very High,Correct,TRUE
Not suitable space for meter testing,Field Operations / Meter Testing,Field Operations / Meter Testing,99.88,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due to materials found front of meter at the time of testing discuss with consumer sh Dharmveer phone no,Field Operations / Meter Testing,Field Operations / Meter Testing,99.23,100-90% Very High,Correct,TRUE
Meter Hanging on Wall So Meter Unsafe Condition So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,100,100-90% Very High,Correct,TRUE
Meter in unsafe condition so meter could be tested at the time of testing,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
meter one phase output cables found heated so unsafe conditionsinform to consumer,Field Operations / Meter Testing,Field Operations / Meter Testing,89.09,90-75% High,Correct,TRUE
Output wire insulation found damage alongwith loose connection at the time of testing unsafe for testing so meter could not be test discuss with consumer,Field Operations / Meter Testing,Field Operations / Meter Testing,99.69,100-90% Very High,Correct,TRUE
Side unsafe for meter testing due to output wire found brunt and meter hanging at pole at the time of testing,Field Operations / Meter Testing,Field Operations / Meter Testing,99.97,100-90% Very High,Correct,TRUE
Site found unsafe meter hanging on wall so meter could not be tested at site,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
meter unsafe condition meter hanging on air,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
Meter at Unsafe Conditions No space of CT conection so meter could not be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.99,100-90% Very High,Correct,TRUE
